"","gl_0","gl_05","mle","n"
"1",-13.7732954065787,-18.5723284345943,-24.7746831263281,50
"2",-11.5237867068133,-18.2104449263459,-22.9438037371939,50
"3",-12.8009451150259,-16.6881381433385,-23.1729945012034,50
"4",-15.1984771737446,-19.9726525752526,-25.333522692756,50
"5",-13.6624170874908,-19.0329231599847,-24.623572753315,50
"6",-11.8766627847431,-18.0190001734299,-26.5917268218684,50
"7",-12.748592883303,-19.1800618123644,-30.2883267862726,50
"8",-11.7467206351787,-17.8555478897318,-23.5442496773723,50
"9",-13.7562610382765,-19.5794193131959,-26.4437657077053,50
"10",-12.6136621996086,-17.3538227620905,-24.2923966077477,50
"11",-12.8134884703497,-18.3053554749122,-23.6873544419587,50
"12",-13.5703229900874,-19.1547363810407,-24.8849523350134,50
"13",-14.0756991249785,-19.2883304828486,-28.4931315769592,50
"14",-14.2113426101148,-18.4856978195582,-28.1932231433471,50
"15",-13.0157779389955,-18.3912070377636,-27.7929416681614,50
"16",-12.3027693359044,-18.8379194185556,-23.2113691350843,50
"17",-12.5919747794808,-17.7671739324115,-24.4688253723262,50
"18",-15.1443224942258,-20.226605419606,-25.2452557850663,50
"19",-12.2839362945848,-18.9331176579511,-22.9917321950445,50
"20",-13.1011303673854,-17.7235664346732,-26.2548227194949,50
"21",-15.2429246152044,-20.2656891916247,-29.7946309572596,50
"22",-13.635103986591,-18.3724138966879,-27.8850773153181,50
"23",-13.9930180965771,-19.0716466137815,-22.3903007212901,50
"24",-12.7362712163879,-19.1513689520388,-21.7692116908655,50
"25",-14.3116958414419,-19.0613095019989,-26.356970716062,50
"26",-12.538230251721,-18.433435098822,-20.7229607875353,50
"27",-13.0802565032484,-17.5359865846584,-24.5316721202324,50
"28",-14.3644784749539,-19.5101167458202,-25.5417040293799,50
"29",-12.6236567060535,-18.5577031230193,-23.6055001436218,50
"30",-13.3879481479187,-18.4880227147387,-23.9222871258869,50
"31",-15.1633722499285,-19.4911553797115,-27.7763079981314,50
"32",-13.0769072764926,-19.6811568508727,-27.3285937963497,50
"33",-15.5721790027492,-20.5605554456863,-22.8839194970858,50
"34",-14.0492139119145,-19.0593883131738,-31.5610810458943,50
"35",-14.4789709510668,-18.3559236043566,-24.0413742216672,50
"36",-13.3980323552223,-19.0601177234486,-29.9010969706243,50
"37",-13.7844707855337,-18.7253229254068,-26.1580497381243,50
"38",-12.3283827180969,-18.8547568027738,-19.4282915236253,50
"39",-16.0335534020094,-19.3682564909707,-24.7952898703686,50
"40",-14.0525152183258,-19.7428543654453,-25.1756344161032,50
"41",-13.5940007235603,-19.7315797793074,-23.2463141188931,50
"42",-13.1274157025542,-18.5222508465679,-20.7933623289273,50
"43",-14.4237812806476,-19.3695895927849,-25.7015561785221,50
"44",-12.8440056541278,-18.1953355753279,-23.7345140978806,50
"45",-12.6430771928802,-18.3739019654057,-22.150724161076,50
"46",-14.0145468919341,-19.9847660907058,-25.9891704993174,50
"47",-12.3238542320336,-18.0761076955309,-24.7647794414701,50
"48",-11.7959054354476,-18.7552504194034,-22.7912229573769,50
"49",-13.4785427312052,-19.215176349837,-24.456182102138,50
"50",-14.3140322761057,-18.8045365278851,-26.3759822659385,50
"51",-14.3238172905124,-18.1849263401803,-27.5243229964095,50
"52",-13.7506872974344,-19.3031244446965,-24.8010167802351,50
"53",-12.7433770854214,-18.0727766959264,-23.8732859467409,50
"54",-11.8305703393212,-18.5005557730444,-21.2577133424744,50
"55",-13.787213313159,-17.723720420637,-22.3806339493798,50
"56",-14.1129185493084,-19.0005050343683,-26.6538090269133,50
"57",-13.9304109714206,-19.4358668019406,-23.6246283446093,50
"58",-14.2099931361078,-19.7623149682503,-26.8408394436736,50
"59",-13.398085374059,-17.8719096908541,-25.1220617277316,50
"60",-13.4905498091013,-17.9949863821835,-21.9604131012216,50
"61",-12.4595999084518,-17.2962649550165,-25.0868195910356,50
"62",-14.1247775031064,-18.8789289785541,-26.4932555153655,50
"63",-12.7893096804742,-18.4161815891684,-26.6302803512501,50
"64",-14.7142624853096,-18.1634174689297,-30.3526438024427,50
"65",-15.7645720764801,-19.5113807652897,-30.6391648238394,50
"66",-11.8550101865997,-17.8960105022588,-23.0245049444383,50
"67",-13.1966220284776,-17.6312321136167,-26.2186733141731,50
"68",-14.6822494258376,-19.6746177235474,-27.3369378803175,50
"69",-15.123426936696,-21.0682956411794,-27.0243488453547,50
"70",-13.5532101980484,-19.4730370030325,-21.7609655020724,50
"71",-14.7400396072224,-19.2244634493964,-23.3557688886726,50
"72",-12.4486068415006,-18.5285191427198,-24.7839876551245,50
